article_name,page_id,pagerank_score,wikipedia link,birth,death,image_url,description,occupation,field,latitude,longitude
Seebohm Rowntree,747148,2.163094563258069e-06,https://en.wikipedia.org/wiki/Seebohm_Rowntree,1871,1954,https://commons.wikimedia.org/wiki/Special:FilePath/Benjamin rowntree.jpg,British philanthropist industrialist and sociologist writer,"['sociologist', 'businessperson']",[],51.76666667,-0.8
Edmund Randolph,266907,2.16278915896408e-06,https://en.wikipedia.org/wiki/Edmund_Randolph,1753,1813,https://commons.wikimedia.org/wiki/Special:FilePath/EdRand.jpg,American attorney (1753-1813),"['politician', 'lawyer', 'diplomat']",[],39.1067009,-78.0147018
Max Mirnyi,630789,2.1625589357583275e-06,https://en.wikipedia.org/wiki/Max_Mirnyi,1977,,"https://commons.wikimedia.org/wiki/Special:FilePath/Max Mirnyi 1, Aegon Championships, London, UK - Diliff.jpg",Belarusian tennis player,['tennis player'],[],53.902246,27.561837
Matthew Boulton,250764,2.162436597922786e-06,https://en.wikipedia.org/wiki/Matthew_Boulton,1728,1809,https://commons.wikimedia.org/wiki/Special:FilePath/Matthew Boulton - Carl Frederik von Breda.jpg,"English manufacturer, industrialist 1728-1809, business partner of James Watt","['businessperson', 'inventor', 'engineer', 'mechanical engineer', 'entrepreneur', 'industrialist', 'merchant', 'designer']","['mechanical engineering', 'discoveries and inventions', 'steam engine', 'pump', 'design', 'coin']",52.5106,-1.91934
Nikolai Chernykh,619606,2.1623640402178283e-06,https://en.wikipedia.org/wiki/Nikolai_Chernykh,1931,2004,,Soviet and Ukrainian astronomer,['astronomer'],['astronomy'],55.75583333,37.61777778
Gustave Eiffel,12232,2.1613975689954177e-06,https://en.wikipedia.org/wiki/Gustave_Eiffel,1832,1923,https://commons.wikimedia.org/wiki/Special:FilePath/Gustave Eiffel.jpg,French chemical engineer and architect,"['civil engineer', 'architect', 'entrepreneur', 'engineer', 'general contractor', 'flight engineer']","['urban design', 'architecture', 'metal construction', 'aerodynamics engineering']",48.9,2.289
Aesop,20012109,2.1599883937540607e-06,https://en.wikipedia.org/wiki/Aesop,-620,-564,https://commons.wikimedia.org/wiki/Special:FilePath/Aesop pushkin01.jpg,ancient Greek storyteller,"['fabulist', 'mythographer', 'philosopher', 'writer']",[],38.48333333,22.5
Daniel Nestor,998494,2.158210649214966e-06,https://en.wikipedia.org/wiki/Daniel_Nestor,1972,,https://commons.wikimedia.org/wiki/Special:FilePath/Nestor 2009 Davis Cup 2.jpg,Canadian tennis player,['tennis player'],[],44.81777777777778,20.456944444444446
Frank Welker,487732,2.158116460490965e-06,https://en.wikipedia.org/wiki/Frank_Welker,1946,,https://commons.wikimedia.org/wiki/Special:FilePath/Frank Welker Headshot 2016.jpg,American actor (born 1946),"['actor', 'voice actor']",[],39.73916667,-104.9847222
Boris Pasternak,4667,2.1574656804481657e-06,https://en.wikipedia.org/wiki/Boris_Pasternak,1890,1960,https://commons.wikimedia.org/wiki/Special:FilePath/Boris Pasternak 1959 photo.jpg,Russian writer (1890-1960),"['writer', 'poet', 'translator', 'novelist', 'playwright', 'pianist', 'prose writer']",['prose'],55.65654,37.34333
